market_type,threshold,card,date,bets,wins,losses,flat_start_bankroll,flat_risk,flat_profit,flat_end_bankroll,flat_card_roi,kelly_start_bankroll,kelly_risk,kelly_profit,kelly_end_bankroll,kelly_card_roi
moneyline,0.02,Freedom 250,2026-06-14,6,4,2,500.0,60.0,-3.080988383867232,496.91901161613276,-0.0513498063977872,500.0,123.22540616666662,4.549748701724912,504.5497487017249,0.03692216437551214
moneyline,0.02,Vegas 119,2026-06-20,7,4,3,496.91901161613276,70.0,2.02259043638354,498.9416020525163,0.02889414909119343,504.5497487017249,75.8984771123107,20.195801181586184,524.7455498833111,0.2660896759720418
moneyline,0.02,Baku,2026-06-27,6,3,3,498.9416020525163,60.0,-3.1232492997198875,495.81835275279644,-0.05205415499533146,524.7455498833111,68.51549966560695,2.3185035342474007,527.0640534175585,0.033839110063605515
moneyline,0.02,UFC 329,2026-07-11,8,4,4,495.81835275279644,80.0,-10.85339922132375,484.9649535314727,-0.13566749026654687,527.0640534175585,31.048249066443883,2.1261860033673274,529.1902394209259,0.06848006143010661
moneyline,0.02,Oklahoma City,2026-07-18,4,3,1,484.9649535314727,40.0,-2.674028189244995,482.2909253422277,-0.06685070473112488,529.1902394209259,89.41364963599437,13.468371628491035,542.6586110494169,0.15062992824161833
moneyline,0.02,Abu Dhabi,2026-07-25,4,3,1,482.2909253422277,40.0,-0.8606521180589004,481.4302732241688,-0.02151630295147251,542.6586110494169,14.536771250313798,-3.1525422486215144,539.5060688007953,-0.21686674395137517
moneyline,0.02,Belgrade,2026-08-01,6,4,2,481.4302732241688,60.0,8.881003972553268,490.3112771967221,0.1480167328758878,539.5060688007953,49.67932102064776,5.490013016444832,544.9960818172401,0.11050901871551481
moneyline,0.03,Freedom 250,2026-06-14,6,4,2,500.0,60.0,-3.080988383867232,496.91901161613276,-0.0513498063977872,500.0,123.22540616666662,4.549748701724912,504.5497487017249,0.03692216437551214
moneyline,0.03,Vegas 119,2026-06-20,7,4,3,496.91901161613276,70.0,2.02259043638354,498.9416020525163,0.02889414909119343,504.5497487017249,75.8984771123107,20.195801181586184,524.7455498833111,0.2660896759720418
moneyline,0.03,Baku,2026-06-27,6,3,3,498.9416020525163,60.0,-3.1232492997198875,495.81835275279644,-0.05205415499533146,524.7455498833111,68.51549966560695,2.3185035342474007,527.0640534175585,0.033839110063605515
moneyline,0.03,UFC 329,2026-07-11,4,2,2,495.81835275279644,40.0,-11.781970649895179,484.03638210290126,-0.2945492662473795,527.0640534175585,28.845346833461036,1.5037861083018238,528.5678395258603,0.05213271024210426
moneyline,0.03,Oklahoma City,2026-07-18,4,3,1,484.03638210290126,40.0,-2.674028189244995,481.36235391365625,-0.06685070473112488,528.5678395258603,89.30848698935947,13.452530986574718,542.0203705124351,0.1506299282416183
moneyline,0.03,Abu Dhabi,2026-07-25,4,3,1,481.36235391365625,40.0,-0.8606521180589004,480.50170179559734,-0.02151630295147251,542.0203705124351,14.519674024728747,-3.1488344289782817,538.8715360834568,-0.21686674395137515
moneyline,0.03,Belgrade,2026-08-01,4,3,1,480.50170179559734,40.0,-2.118996027446732,478.38270576815063,-0.0529749006861683,538.8715360834568,44.31381442558049,3.767955499436514,542.6394915828934,0.08502891363063146
moneyline,0.05,Freedom 250,2026-06-14,5,3,2,500.0,50.0,-6.359676908457396,493.6403230915426,-0.1271935381691479,500.0,116.96047116666664,2.495671652544594,502.4956716525446,0.02133773596883263
moneyline,0.05,Vegas 119,2026-06-20,3,2,1,493.6403230915426,30.0,13.523809523809524,507.1641326153521,0.4507936507936508,502.4956716525446,53.7378905270193,22.901122762167496,525.3967944147121,0.4261634116555591
moneyline,0.05,Baku,2026-06-27,3,1,2,507.1641326153521,30.0,-5.0,502.1641326153521,-0.16666666666666666,525.3967944147121,53.089228770298654,1.1063496981696677,526.5031441128817,0.020839438127016587
moneyline,0.05,UFC 329,2026-07-11,1,1,0,502.1641326153521,10.0,3.7735849056603774,505.9377175210125,0.37735849056603776,526.5031441128817,14.495353925379082,5.469944877501541,531.9730889903833,0.37735849056603776
moneyline,0.05,Oklahoma City,2026-07-18,4,3,1,505.9377175210125,40.0,-2.674028189244995,503.26368933176747,-0.06685070473112488,531.9730889903833,89.88384866435406,13.539197674392131,545.5122866647754,0.1506299282416183
moneyline,0.05,Abu Dhabi,2026-07-25,0,0,0,503.26368933176747,0.0,0.0,503.26368933176747,,545.5122866647754,0.0,0.0,545.5122866647754,
moneyline,0.05,Belgrade,2026-08-01,2,2,0,503.26368933176747,20.0,5.064102564102564,508.32779189587,0.2532051282051282,545.5122866647754,34.525944883538614,8.715465867775048,554.2277525325504,0.2524323634638725
moneyline,0.075,Freedom 250,2026-06-14,2,2,0,500.0,20.0,11.2012987012987,511.2012987012987,0.560064935064935,500.0,67.92815199999995,36.429557435064915,536.4295574350649,0.5362954292509671
moneyline,0.075,Vegas 119,2026-06-20,1,1,0,511.2012987012987,10.0,14.0,525.2012987012987,1.4,536.4295574350649,26.91114306994544,37.67560029792361,574.1051577329886,1.3999999999999997
moneyline,0.075,Baku,2026-06-27,2,1,1,525.2012987012987,20.0,5.0,530.2012987012987,0.25,574.1051577329886,49.19516379263972,10.024765707941405,584.1299234409299,0.20377543106058832
moneyline,0.075,UFC 329,2026-07-11,0,0,0,530.2012987012987,0.0,0.0,530.2012987012987,,584.1299234409299,0.0,0.0,584.1299234409299,
moneyline,0.075,Oklahoma City,2026-07-18,2,2,0,530.2012987012987,20.0,5.19831223628692,535.3996109375856,0.259915611814346,584.1299234409299,68.64266963477871,17.78398772237867,601.9139111633086,0.2590806537245774
moneyline,0.075,Abu Dhabi,2026-07-25,0,0,0,535.3996109375856,0.0,0.0,535.3996109375856,,601.9139111633086,0.0,0.0,601.9139111633086,
moneyline,0.075,Belgrade,2026-08-01,0,0,0,535.3996109375856,0.0,0.0,535.3996109375856,,601.9139111633086,0.0,0.0,601.9139111633086,
moneyline,0.1,Freedom 250,2026-06-14,1,1,0,500.0,10.0,8.928571428571429,508.92857142857144,0.8928571428571429,500.0,31.53820999999998,28.159116071428556,528.1591160714286,0.8928571428571429
moneyline,0.1,Vegas 119,2026-06-20,1,1,0,508.92857142857144,10.0,14.0,522.9285714285714,1.4,528.1591160714286,26.496238582108088,37.09473401495132,565.2538500863799,1.4
moneyline,0.1,Baku,2026-06-27,2,1,1,522.9285714285714,20.0,5.0,527.9285714285714,0.25,565.2538500863799,48.43669380924257,9.87020816012813,575.124058246508,0.2037754310605882
moneyline,0.1,UFC 329,2026-07-11,0,0,0,527.9285714285714,0.0,0.0,527.9285714285714,,575.124058246508,0.0,0.0,575.124058246508,
